Order ID,Sum of Discount
CA-2014-169019,4
CA-2017-151750,3.7
US-2016-114013,3.6
CA-2017-156237,3.3
US-2016-110156,3.2
CA-2016-120824,3.1
US-2014-140452,3.1
US-2015-163433,3.0999999999999996
CA-2017-134845,3
CA-2016-157749,2.9000000000000004
US-2016-148901,2.9000000000000004
US-2017-118087,2.9
CA-2015-167010,2.8
CA-2017-134194,2.8
US-2016-144057,2.8
CA-2016-110898,2.7
US-2015-150630,2.7
CA-2014-165309,2.6
CA-2015-107083,2.6
CA-2017-100223,2.6
CA-2017-121160,2.6
US-2015-126753,2.6
US-2017-162558,2.6
CA-2015-104346,2.5999999999999996
CA-2015-121720,2.5999999999999996
CA-2015-126557,2.5
US-2016-105578,2.5
CA-2016-145177,2.4999999999999996
US-2016-131611,2.42
CA-2014-163468,2.4000000000000004
CA-2015-163181,2.4000000000000004
CA-2015-119291,2.4
CA-2015-124800,2.4
CA-2015-140221,2.4
CA-2016-106950,2.4
CA-2017-118773,2.4
US-2017-112347,2.4
US-2017-119438,2.4
CA-2014-166863,2.3200000000000003
CA-2014-139892,2.3000000000000003
CA-2015-120845,2.3
CA-2015-142237,2.3
CA-2017-163860,2.3
US-2016-157490,2.3
US-2017-124779,2.3
CA-2014-138317,2.2
CA-2015-113628,2.2
CA-2015-124541,2.2
CA-2015-169397,2.2
CA-2016-145261,2.2
CA-2016-169922,2.2
CA-2017-132199,2.2
CA-2017-164168,2.2
US-2014-159926,2.2
US-2015-147662,2.2
US-2016-132577,2.2
CA-2014-129189,2.1
CA-2014-140858,2.1
CA-2017-133102,2.1
CA-2014-107398,2.0999999999999996
CA-2014-129364,2.0999999999999996
CA-2017-140872,2.0999999999999996
US-2015-165743,2.0999999999999996
CA-2014-103492,2
CA-2014-120775,2
CA-2014-145317,2
CA-2014-149958,2
CA-2015-146262,2
CA-2015-168809,2
CA-2016-129308,2
CA-2016-154018,2
CA-2017-109085,2
CA-2017-127306,2
CA-2017-136448,2
CA-2017-164042,2
US-2017-100930,2
US-2017-104661,2
US-2017-155425,2
CA-2016-145303,1.9200000000000002
CA-2014-103989,1.9
CA-2014-151162,1.9
CA-2015-161263,1.9
CA-2015-162201,1.9
CA-2016-134936,1.9
CA-2017-113481,1.9
CA-2017-128363,1.9
CA-2015-100818,1.8000000000000003
CA-2015-112214,1.8000000000000003
CA-2015-119690,1.8000000000000003
CA-2016-127243,1.8000000000000003
US-2014-127635,1.8000000000000003
US-2016-117037,1.8000000000000003
US-2016-141544,1.8000000000000003
CA-2014-126193,1.8
CA-2014-146591,1.8
CA-2015-122287,1.8
CA-2015-130792,1.8
CA-2015-162621,1.8
CA-2015-163965,1.8
CA-2016-109827,1.8
CA-2016-109869,1.8
CA-2016-112109,1.8
CA-2016-163398,1.8
CA-2017-109757,1.8
CA-2017-112536,1.8
CA-2017-112809,1.8
CA-2017-131618,1.8
CA-2017-141117,1.8
US-2016-103646,1.8
US-2017-102288,1.8
US-2017-142573,1.8
US-2017-156356,1.8
CA-2015-102876,1.7999999999999998
CA-2016-159912,1.7999999999999998
US-2016-150147,1.7999999999999998
CA-2014-105165,1.7000000000000002
CA-2014-127446,1.7000000000000002
CA-2017-148404,1.7000000000000002
CA-2017-161172,1.7000000000000002
US-2017-169551,1.7000000000000002
CA-2014-131947,1.7
CA-2016-129280,1.7
CA-2016-162383,1.7
US-2017-125717,1.7
CA-2016-143714,1.6999999999999997
US-2017-141558,1.6999999999999997
CA-2014-104738,1.6
CA-2014-120544,1.6
CA-2014-122567,1.6
CA-2014-122931,1.6
CA-2014-126200,1.6
CA-2014-137092,1.6
CA-2015-128608,1.6
CA-2016-112256,1.6
CA-2017-103478,1.6
CA-2017-107629,1.6
CA-2017-119284,1.6
CA-2017-126123,1.6
CA-2017-152926,1.6
CA-2017-157966,1.6
CA-2017-163160,1.6
US-2015-118983,1.6
US-2015-122784,1.6
US-2015-155369,1.6
US-2015-157014,1.6
US-2017-118038,1.6
US-2017-141677,1.6
US-2017-145863,1.6
CA-2014-114195,1.5999999999999999
CA-2015-101868,1.5999999999999999
CA-2015-162761,1.5999999999999999
CA-2016-108196,1.5999999999999999
CA-2016-109820,1.5999999999999999
CA-2016-134348,1.5999999999999999
CA-2017-105991,1.5999999999999999
CA-2017-118017,1.5999999999999999
CA-2017-149489,1.5999999999999999
CA-2017-152198,1.5999999999999999
CA-2017-165757,1.5999999999999999
US-2016-139262,1.5999999999999999
US-2017-165344,1.5999999999999999
CA-2015-135251,1.5200000000000002
US-2014-112914,1.5200000000000002
CA-2014-127166,1.5000000000000002
CA-2015-146563,1.5000000000000002
CA-2016-168956,1.5000000000000002
CA-2017-105669,1.5000000000000002
CA-2017-147207,1.5000000000000002
CA-2017-150266,1.5000000000000002
CA-2017-156622,1.5000000000000002
CA-2014-111451,1.5
CA-2014-114251,1.5
CA-2014-115791,1.5
CA-2014-122336,1.5
CA-2014-122882,1.5
CA-2014-129147,1.5
CA-2014-165764,1.5
CA-2015-102260,1.5
CA-2015-112130,1.5
CA-2015-113131,1.5
CA-2015-147830,1.5
CA-2015-150714,1.5
CA-2016-114727,1.5
CA-2016-168032,1.5
CA-2017-104864,1.5
CA-2017-121300,1.5
CA-2017-135937,1.5
CA-2017-145233,1.5
CA-2017-163265,1.5
CA-2017-167941,1.5
US-2014-150119,1.5
US-2015-130512,1.5
US-2016-155173,1.5
US-2017-147669,1.5
CA-2017-137449,1.4200000000000002
CA-2015-114468,1.4000000000000001
CA-2016-130393,1.4000000000000001
CA-2017-106068,1.4000000000000001
CA-2017-139311,1.4000000000000001
US-2014-141215,1.4000000000000001
CA-2014-105417,1.4
CA-2014-108189,1.4
CA-2015-105571,1.4
CA-2015-143077,1.4
CA-2015-156377,1.4
CA-2016-101791,1.4
CA-2016-107783,1.4
CA-2016-118934,1.4
CA-2016-126627,1.4
CA-2016-132829,1.4
CA-2016-139689,1.4
CA-2016-159023,1.4
CA-2017-133067,1.4
US-2014-105137,1.4
US-2014-117744,1.4
US-2014-130379,1.4
US-2014-158057,1.4
US-2014-160780,1.4
US-2015-100531,1.4
US-2016-150567,1.4
US-2017-147221,1.4
US-2017-161935,1.4
CA-2014-169775,1.3499999999999999
US-2017-133200,1.32
CA-2016-162187,1.3000000000000003
CA-2014-159310,1.3
